,0
722,Hymenoscyphus laetus
723,Hymenoscyphus repandus
724,Hymenoscyphus salicellus
725,Hymenoscyphus scutula
726,Hymenoscyphus varicosporoides
727,Hypholoma sublateritium
728,Hyphopichia burtonii
729,Hyphopichia homilentoma
730,Hypocrella siamensis
731,Hypoxylon pulicicidum
732,Hypoxylon sp.
733,Hypsizygus marmoreus
734,Hysterium pulicare
735,Ilyonectria destructans
736,Ilyonectria europaea
737,Ilyonectria robusta
738,Ilyonectria sp.
739,Irpex lacteus
740,Isaria farinosa
741,Isaria fumosorosea
742,Jaapia argillacea
743,Jaminaea sp.
744,Kalaharituber pfeilii
745,Kalmanozyma brasiliensis
746,Karstenula rhodostoma
747,Kazachstania africana
748,Kazachstania naganishii
749,Kazachstania saulgeensis
750,Kazachstania servazzii
751,Khuskia oryzae
752,Kickxella alabastrina
753,Kluyveromyces aestuarii
754,Kluyveromyces dobzhanskii
755,Kluyveromyces lactis
756,Kluyveromyces marxianus
757,Kluyveromyces wickerhamii
758,Knoxdaviesia capensis
759,Knoxdaviesia proteae
760,Knufia petricola
761,Kockovaella imperatae
762,Komagataella pastoris
763,Komagataella phaffii
764,Kretzschmaria deusta
765,Kuraishia capsulata
766,Kwoniella bestiolae
767,Kwoniella dejecticola
768,Kwoniella heveanensis
769,Kwoniella mangroviensis
770,Kwoniella pini
771,Laccaria amethystina
772,Laccaria bicolor
773,Lachancea dasiensis
774,Lachancea fermentati
775,Lachancea kluyveri
776,Lachancea lanzarotensis
777,Lachancea meyersii
778,Lachancea mirantina
779,Lachancea nothofagi
780,Lachancea sp.
781,Lachancea thermotolerans
782,Lachancea waltii
783,Lactarius quietus
784,Lactifluus subvellereus
785,Lactifluus volemus
786,Laetiporus sulphureus
787,Lasiodiplodia theobromae
788,Lasiosphaeria miniovina
789,Lasiosphaeria ovina
790,Lasiosphaeris hirsuta
791,Lecanicillium fungicola
792,Lecanicillium psalliotae
793,Lecanicillium sp.
794,Lecanosticta acicola
795,Lecythophora sp.
796,Leiotrametes lactinea
797,Leiotrametes menziesii
798,Leiotrametes sp
799,Lentinellus vulpinus
800,Lentinula afn.
801,Lentinula edodes
802,Lentinula lateritia
803,Lentinula raphanica
804,Lentinus polychrous
805,Lentinus tigrinus
806,Lentithecium fluviatile
807,Lepidopterella palustris
808,Lepista nuda
809,Lepista sordida
810,Leptodontium sp.
811,Leptographium lundbergii
812,Leptographium procerum
813,Leptosphaeria maculans
814,Leptoxyphium fumago
815,Leucoagaricus gongylophorus
816,Leucoagaricus sp.
817,Leucogyrophana mollusca
818,Leucosporidiella creatinivora
819,Leucosporidium creatinivorum
820,Lichtheimia corymbifera
821,Lichtheimia hyalospora
822,Lichtheimia ramosa
823,Lignosus rhinocerotis
824,Limonomyces culmigenus
825,Linderina pennispora
826,Lindgomyces ingoldianus
827,Lindra thalassiae
828,Lineolata rhizophorae
829,Lipomyces starkeyi
830,Lizonia empirigonia
831,Lobaria pulmonaria
832,Lobosporangium transversale
833,Lodderomyces elongisporus
834,Lollipopaia minuta
835,Lomentospora prolificans
836,Lophiostoma macrostomum
837,Lophiotrema nucula
838,Lophium mytilinum
839,Loramyces juncicola
840,Loramyces macrosporus
841,Lycoperdon perlatum
842,Lyophyllum decastes
843,Lyophyllum shimeji
844,Macrocystidia cucumis
845,Macrolepiota fuliginosa
846,Macrophomina phaseolina
847,Macroventuria anomochaeta
848,Madurella mycetomatis
849,Magnaporthe grisea
850,Magnaporthe oryzae
851,Magnaporthe poae
852,Magnaporthe sp.
853,Magnaporthiopsis poae
854,Malassezia caprae
855,Malassezia cuniculi
856,Malassezia dermatis
857,Malassezia equina
858,Malassezia furfur
859,Malassezia globosa
860,Malassezia japonica
861,Malassezia nana
862,Malassezia obtusa
863,Malassezia pachydermatis
864,Malassezia restricta
865,Malassezia slooffiae
